name_launch,date_utc,success,payloads,rocket,upcoming,launchpad,name_payload,mass_kg,type,orbit,customers
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05 02:09:00+00:00,True,631617fbffc78f3b8567071d,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Varuna-TDM,180.0,Satellite,VLEO,Boeing
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11 01:10:00+00:00,True,63161610ffc78f3b85670718,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Starlink 4-2 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11 01:10:00+00:00,True,63161872ffc78f3b8567071e,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,BlueWalker 3,1500.0,Satellite,VLEO,AST & Science
Starlink 4-34 (v1.5),2022-09-17 01:05:00+00:00,True,63161699ffc78f3b85670719,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-34 (v1.5),13260.0,Satellite,VLEO,SpaceX
Starlink 4-35 (v1.5),2022-09-24 23:30:00+00:00,True,631616a7ffc78f3b8567071a,5e9d0d95eda69973a809d1ec,False,5e9e4501f509094ba4566f84,Starlink 4-35 (v1.5),13260.0,Satellite,VLEO,SpaceX
Crew-5,2022-10-05 16:00:00+00:00,True,62dd73ed202306255024d145,5e9d0d95eda69973a809d1ec,False,5e9e4502f509094188566f88,Crew-5,4701.5,Crew Dragon,ISS,NASA (CCtCap)
USSF-44,2022-11-01 13:41:00+00:00,True,5fe3b86eb3467846b324217c,5e9d0d95eda69974db09d1ed,True,5e9e4502f509094188566f88,USSF-44,3700.0,Satellite,GTO,USSF
Starlink 4-36 (v1.5),2022-10-20 14:50:00+00:00,True,631616aeffc78f3b8567071b,5e9d0d95eda69973a809d1ec,True,5e9e4501f509094ba4566f84,Starlink 4-36 (v1.5),13260.0,Satellite,VLEO,SpaceX
Galaxy 33 (15R) & 34 (12R),2022-10-08 23:05:00+00:00,True,Have_no_payloads,5e9d0d95eda69973a809d1ec,True,5e9e4501f509094ba4566f84,Unknown,4701.5,Unknown,Unknown,Unknown
Hotbird 13F,2022-10-15 05:22:00+00:00,True,Have_no_payloads,5e9d0d95eda69973a809d1ec,True,5e9e4501f509094ba4566f84,Unknown,4701.5,Unknown,Unknown,Unknown
Hotbird 13G,2022-11-03 03:24:00+00:00,True,Have_no_payloads,5e9d0d95eda69973a809d1ec,True,5e9e4501f509094ba4566f84,Unknown,4701.5,Unknown,Unknown,Unknown
